GRIDCODE,LONG,LATITUDE,Huso,Pob,UTMX,UTMY,UTMz
624942,-114.42728,30.42081,8,0,1305321.77420,2090649.06160,11
624943,-114.39623,30.42315,8,0,1308321.77420,2090649.06160,11
624944,-114.36518,30.42548,8,0,1311321.77420,2090649.06160,11
624945,-114.33412,30.42780,8,0,1314321.77420,2090649.06160,11
624946,-114.30307,30.43012,8,0,1317321.77420,2090649.06160,11
624947,-114.27201,30.43243,8,0,1320321.77420,2090649.06160,11
624948,-114.24095,30.43473,8,0,1323321.77420,2090649.06160,11
624949,-114.20990,30.43703,8,0,1326321.77420,2090649.06160,11
624950,-114.17884,30.43933,8,0,1329321.77420,2090649.06160,11
624951,-114.14778,30.44161,8,0,1332321.77420,2090649.06160,11
624952,-114.11672,30.44390,8,0,1335321.77420,2090649.06160,11
624953,-114.08565,30.44617,8,0,1338321.77420,2090649.06160,11
624954,-114.05459,30.44844,8,0,1341321.77420,2090649.06160,11
624955,-114.02352,30.45071,8,0,1344321.77420,2090649.06160,11
624956,-113.99246,30.45297,8,0,1347321.77420,2090649.06160,12
624957,-113.96139,30.45522,8,0,1350321.77420,2090649.06160,12
624958,-113.93032,30.45747,8,0,1353321.77420,2090649.06160,12
624959,-113.89925,30.45971,8,0,1356321.77420,2090649.06160,12
624960,-113.86818,30.46194,8,0,1359321.77420,2090649.06160,12
624961,-113.83711,30.46417,8,0,1362321.77420,2090649.06160,12
624962,-113.80604,30.46640,8,0,1365321.77420,2090649.06160,12
624963,-113.77496,30.46861,8,0,1368321.77420,2090649.06160,12
624964,-113.74389,30.47083,8,0,1371321.77420,2090649.06160,12
624965,-113.71281,30.47303,8,0,1374321.77420,2090649.06160,12
624966,-113.68173,30.47523,8,0,1377321.77420,2090649.06160,12
624967,-113.65066,30.47743,8,0,1380321.77420,2090649.06160,12
624968,-113.61958,30.47962,8,0,1383321.77420,2090649.06160,12
624969,-113.58850,30.48180,8,0,1386321.77420,2090649.06160,12
624970,-113.55741,30.48398,8,0,1389321.77420,2090649.06160,12
624971,-113.52633,30.48615,8,0,1392321.77420,2090649.06160,12
624972,-113.49525,30.48831,8,0,1395321.77420,2090649.06160,12
624973,-113.46416,30.49047,8,0,1398321.77420,2090649.06160,12
624974,-113.43308,30.49262,8,0,1401321.77420,2090649.06160,12
624975,-113.40199,30.49477,8,0,1404321.77420,2090649.06160,12
624976,-113.37090,30.49691,8,0,1407321.77420,2090649.06160,12
624977,-113.33981,30.49905,8,0,1410321.77420,2090649.06160,12
624978,-113.30872,30.50118,8,0,1413321.77420,2090649.06160,12
624979,-113.27763,30.50330,8,0,1416321.77420,2090649.06160,12
624980,-113.24654,30.50542,8,0,1419321.77420,2090649.06160,12
624981,-113.21545,30.50754,8,0,1422321.77420,2090649.06160,12
624982,-113.18435,30.50964,8,0,1425321.77420,2090649.06160,12
624983,-113.15326,30.51174,8,0,1428321.77420,2090649.06160,12
624984,-113.12216,30.51384,8,0,1431321.77420,2090649.06160,12
624985,-113.09106,30.51593,8,0,1434321.77420,2090649.06160,12
624986,-113.05996,30.51801,8,0,1437321.77420,2090649.06160,12
624987,-113.02886,30.52009,8,0,1440321.77420,2090649.06160,12
624988,-112.99776,30.52216,7,0,1443321.77420,2090649.06160,12
624989,-112.96666,30.52423,7,0,1446321.77420,2090649.06160,12
624990,-112.93556,30.52629,7,0,1449321.77420,2090649.06160,12
624991,-112.90445,30.52834,7,0,1452321.77420,2090649.06160,12
624992,-112.87335,30.53039,7,0,1455321.77420,2090649.06160,12
624993,-112.84224,30.53243,7,0,1458321.77420,2090649.06160,12
624994,-112.81113,30.53447,7,0,1461321.77420,2090649.06160,12
624995,-112.78003,30.53650,7,0,1464321.77420,2090649.06160,12
624996,-112.74892,30.53852,7,0,1467321.77420,2090649.06160,12
624997,-112.71781,30.54054,7,0,1470321.77420,2090649.06160,12
624998,-112.68670,30.54256,7,0,1473321.77420,2090649.06160,12
624999,-112.65558,30.54456,7,0,1476321.77420,2090649.06160,12
625000,-112.62447,30.54657,7,0,1479321.77420,2090649.06160,12
625001,-112.59336,30.54856,7,0,1482321.77420,2090649.06160,12
625002,-112.56224,30.55055,7,0,1485321.77420,2090649.06160,12
625003,-112.53113,30.55253,7,0,1488321.77420,2090649.06160,12
625004,-112.50001,30.55451,7,0,1491321.77420,2090649.06160,12
625005,-112.46889,30.55648,7,0,1494321.77420,2090649.06160,12
625006,-112.43777,30.55845,7,0,1497321.77420,2090649.06160,12
625007,-112.40665,30.56041,7,0,1500321.77420,2090649.06160,12
625008,-112.37553,30.56237,7,12,1503321.77420,2090649.06160,12
625009,-112.34441,30.56432,7,4,1506321.77420,2090649.06160,12
625010,-112.31329,30.56626,7,0,1509321.77420,2090649.06160,12
625011,-112.28216,30.56820,7,2,1512321.77420,2090649.06160,12
625012,-112.25104,30.57013,7,183,1515321.77420,2090649.06160,12
625013,-112.21991,30.57205,7,0,1518321.77420,2090649.06160,12
625014,-112.18878,30.57397,7,6,1521321.77420,2090649.06160,12
625015,-112.15766,30.57589,7,5,1524321.77420,2090649.06160,12
625016,-112.12653,30.57779,7,0,1527321.77420,2090649.06160,12
625017,-112.09540,30.57970,7,0,1530321.77420,2090649.06160,12
625018,-112.06427,30.58159,7,0,1533321.77420,2090649.06160,12
625019,-112.03314,30.58348,7,0,1536321.77420,2090649.06160,12
625020,-112.00200,30.58537,7,0,1539321.77420,2090649.06160,12
625021,-111.97087,30.58724,7,0,1542321.77420,2090649.06160,12
625022,-111.93974,30.58912,7,0,1545321.77420,2090649.06160,12
625023,-111.90860,30.59098,7,0,1548321.77420,2090649.06160,12
625024,-111.87746,30.59285,7,7,1551321.77420,2090649.06160,12
625025,-111.84633,30.59470,7,3,1554321.77420,2090649.06160,12
625026,-111.81519,30.59655,7,13,1557321.77420,2090649.06160,12
625027,-111.78405,30.59839,7,0,1560321.77420,2090649.06160,12
625028,-111.75291,30.60023,7,0,1563321.77420,2090649.06160,12
625029,-111.72177,30.60206,7,0,1566321.77420,2090649.06160,12
625030,-111.69063,30.60389,7,0,1569321.77420,2090649.06160,12
625031,-111.65948,30.60571,7,0,1572321.77420,2090649.06160,12
625032,-111.62834,30.60752,7,0,1575321.77420,2090649.06160,12
625033,-111.59720,30.60933,7,0,1578321.77420,2090649.06160,12
625034,-111.56605,30.61113,7,0,1581321.77420,2090649.06160,12
625035,-111.53490,30.61293,7,0,1584321.77420,2090649.06160,12
625036,-111.50376,30.61472,7,0,1587321.77420,2090649.06160,12
625037,-111.47261,30.61651,7,0,1590321.77420,2090649.06160,12
625038,-111.44146,30.61828,7,0,1593321.77420,2090649.06160,12
625039,-111.41031,30.62006,7,335,1596321.77420,2090649.06160,12
625040,-111.37916,30.62183,7,0,1599321.77420,2090649.06160,12
625041,-111.34801,30.62359,7,0,1602321.77420,2090649.06160,12
625042,-111.31685,30.62534,7,0,1605321.77420,2090649.06160,12
625043,-111.28570,30.62709,7,0,1608321.77420,2090649.06160,12
625044,-111.25455,30.62884,7,0,1611321.77420,2090649.06160,12
625045,-111.22339,30.63057,7,0,1614321.77420,2090649.06160,12
625046,-111.19223,30.63231,7,0,1617321.77420,2090649.06160,12
625047,-111.16108,30.63403,7,23,1620321.77420,2090649.06160,12
625048,-111.12992,30.63575,7,4,1623321.77420,2090649.06160,12
625049,-111.09876,30.63747,7,0,1626321.77420,2090649.06160,12
625050,-111.06760,30.63918,7,0,1629321.77420,2090649.06160,12
625051,-111.03644,30.64088,7,0,1632321.77420,2090649.06160,12
625052,-111.00528,30.64258,7,155,1635321.77420,2090649.06160,12
625053,-110.97412,30.64427,7,4145,1638321.77420,2090649.06160,12
625054,-110.94295,30.64595,7,3976,1641321.77420,2090649.06160,12
625055,-110.91179,30.64763,7,0,1644321.77420,2090649.06160,12
625056,-110.88063,30.64930,7,1,1647321.77420,2090649.06160,12
625057,-110.84946,30.65097,7,0,1650321.77420,2090649.06160,12
625058,-110.81829,30.65263,7,3,1653321.77420,2090649.06160,12
625059,-110.78713,30.65429,7,0,1656321.77420,2090649.06160,12
625060,-110.75596,30.65594,7,0,1659321.77420,2090649.06160,12
625061,-110.72479,30.65758,7,0,1662321.77420,2090649.06160,12
625062,-110.69362,30.65922,7,9,1665321.77420,2090649.06160,12
625063,-110.66245,30.66086,7,3,1668321.77420,2090649.06160,12
625064,-110.63128,30.66248,7,0,1671321.77420,2090649.06160,12
625065,-110.60011,30.66410,7,0,1674321.77420,2090649.06160,12
625066,-110.56893,30.66572,7,0,1677321.77420,2090649.06160,12
625067,-110.53776,30.66733,7,0,1680321.77420,2090649.06160,12
625068,-110.50658,30.66893,7,0,1683321.77420,2090649.06160,12
625069,-110.47541,30.67053,7,0,1686321.77420,2090649.06160,12
625070,-110.44423,30.67212,7,1,1689321.77420,2090649.06160,12
625071,-110.41306,30.67370,7,0,1692321.77420,2090649.06160,12
625072,-110.38188,30.67528,7,0,1695321.77420,2090649.06160,12
625073,-110.35070,30.67686,7,2,1698321.77420,2090649.06160,12
625074,-110.31952,30.67843,7,0,1701321.77420,2090649.06160,12
625075,-110.28834,30.67999,7,2,1704321.77420,2090649.06160,12
625076,-110.25716,30.68154,7,0,1707321.77420,2090649.06160,12
625077,-110.22598,30.68309,7,0,1710321.77420,2090649.06160,12
625078,-110.19479,30.68464,7,0,1713321.77420,2090649.06160,12
625079,-110.16361,30.68618,7,0,1716321.77420,2090649.06160,12
625080,-110.13243,30.68771,7,0,1719321.77420,2090649.06160,12
625081,-110.10124,30.68924,7,0,1722321.77420,2090649.06160,12
625082,-110.07006,30.69076,7,0,1725321.77420,2090649.06160,12
625083,-110.03887,30.69227,7,0,1728321.77420,2090649.06160,12
625084,-110.00768,30.69378,7,0,1731321.77420,2090649.06160,12
625085,-109.97650,30.69529,7,5,1734321.77420,2090649.06160,12
625086,-109.94531,30.69678,7,0,1737321.77420,2090649.06160,12
625087,-109.91412,30.69828,7,2,1740321.77420,2090649.06160,12
625088,-109.88293,30.69976,7,0,1743321.77420,2090649.06160,12
625089,-109.85174,30.70124,7,0,1746321.77420,2090649.06160,12
625090,-109.82055,30.70272,7,0,1749321.77420,2090649.06160,12
625091,-109.78935,30.70418,7,0,1752321.77420,2090649.06160,12
625092,-109.75816,30.70565,7,0,1755321.77420,2090649.06160,12
625093,-109.72697,30.70710,7,0,1758321.77420,2090649.06160,12
625094,-109.69577,30.70855,7,0,1761321.77420,2090649.06160,12
625095,-109.66458,30.71000,7,0,1764321.77420,2090649.06160,12
625096,-109.63338,30.71144,7,0,1767321.77420,2090649.06160,12
625097,-109.60218,30.71287,7,2033,1770321.77420,2090649.06160,12
625098,-109.57099,30.71430,7,3376,1773321.77420,2090649.06160,12
625099,-109.53979,30.71572,7,0,1776321.77420,2090649.06160,12
625100,-109.50859,30.71713,7,0,1779321.77420,2090649.06160,12
625101,-109.47739,30.71854,7,0,1782321.77420,2090649.06160,12
625102,-109.44619,30.71995,7,0,1785321.77420,2090649.06160,12
625103,-109.41499,30.72135,7,0,1788321.77420,2090649.06160,12
625104,-109.38379,30.72274,7,0,1791321.77420,2090649.06160,12
625105,-109.35258,30.72412,7,0,1794321.77420,2090649.06160,12
625106,-109.32138,30.72550,7,0,1797321.77420,2090649.06160,12
625107,-109.29018,30.72688,7,0,1800321.77420,2090649.06160,12
625108,-109.25897,30.72825,7,0,1803321.77420,2090649.06160,12
625109,-109.22777,30.72961,7,0,1806321.77420,2090649.06160,12
625110,-109.19656,30.73097,7,0,1809321.77420,2090649.06160,12
625111,-109.16535,30.73232,7,0,1812321.77420,2090649.06160,12
625112,-109.13415,30.73366,7,2,1815321.77420,2090649.06160,12
625113,-109.10294,30.73500,7,0,1818321.77420,2090649.06160,12
625114,-109.07173,30.73633,7,3,1821321.77420,2090649.06160,12
625115,-109.04052,30.73766,7,0,1824321.77420,2090649.06160,12
625116,-109.00931,30.73898,7,0,1827321.77420,2090649.06160,12
625117,-108.97810,30.74030,7,0,1830321.77420,2090649.06160,12
625118,-108.94689,30.74161,7,0,1833321.77420,2090649.06160,12
625119,-108.91568,30.74291,7,0,1836321.77420,2090649.06160,12
625120,-108.88446,30.74421,7,0,1839321.77420,2090649.06160,12
625121,-108.85325,30.74550,7,0,1842321.77420,2090649.06160,12
625122,-108.82204,30.74679,7,7,1845321.77420,2090649.06160,12
625123,-108.79082,30.74807,7,0,1848321.77420,2090649.06160,12
625124,-108.75961,30.74934,7,0,1851321.77420,2090649.06160,12
625125,-108.72839,30.75061,7,0,1854321.77420,2090649.06160,12
625126,-108.69718,30.75188,7,0,1857321.77420,2090649.06160,12
625127,-108.66596,30.75313,7,0,1860321.77420,2090649.06160,12
625128,-108.63474,30.75438,7,0,1863321.77420,2090649.06160,12
625129,-108.60352,30.75563,7,0,1866321.77420,2090649.06160,12
