GRIDCODE	CVENTMUN	Fter
624897	2001	0.003065895
624898	2001	0.000423948
624935	2001	0.003446803
625024	26004	0.037269484
625025	26004	0.009696465
625032	26046	0.003501384
625033	26046	0.077699337
625034	26046	0.005789668
625034	26046	0.051935704
625034	26046	0.002847491
625050	26036	0.033698663
625051	26036	0.036381471
625052	26036	0.034898596
625053	26036	0.033494035
625053	26036	0.008805239
625053	26036	0.001911422
625054	26036	0.087495423
625054	26036	0.143003707
625055	26036	0.004764367
625075	26006	0.257325505
625084	26011	0.005756048
625085	26011	0.140841326
625097	26027	0.044733391
625098	26027	0.005911031
625098	26027	0.006225599
625098	26027	0.006822873
625135	8035	0.006368302
625136	8035	0.016718835
625145	8035	0.009309466
625146	8035	0.010243323
625196	8001	0.058336868
625197	8001	0.008889198
625197	8001	0.003578162
625956	2001	0.003415796
625994	2001	0.003465921
626082	26004	0.033584873
626083	26004	0.010043759
626090	26046	0.064040141
626091	26046	0.074321795
626108	26036	0.012078847
626108	26058	0.943254522
626109	26036	0.001753607
626109	26058	0.056745478
626113	26036	0.082216455
626114	26036	0.037325438
626114	26036	0.02238571
626114	26036	0.058536923
626115	26036	0.108554545
626134	26006	0.253208365
626143	26011	0.155639923
626157	26027	0.062309806
626195	8035	0.020171792
626203	8035	0.000897044
626204	8035	0.0135461
626204	8035	0.00512154
626256	8001	0.066874615
626256	8001	0.0025442
626256	8001	0.000618779
627015	2001	0.004367697
627053	2001	0.0034648
627106	26017	0.009363322
627107	26017	0.010080617
627140	26047	0.084346167
627140	26004	0.007067627
627141	26004	0.011160348
627147	26046	0.057974983
627148	26046	0.077635425
627149	26046	0.013293983
627166	26036	0.033690953
627167	26036	0.003110383
627174	26036	0.076920892
627174	26035	0.019420113
627175	26035	0.011721596
627192	26006	0.134424869
627193	26006	0.102358826
627202	26011	0.154283305
627216	26027	0.063103754
627246	8035	0.002410281
627254	8035	0.016043445
627262	8035	0.019526482
627315	8001	0.071669832
628072	2001	0.000467113
628073	2001	0.004467857
628074	2001	0.000352631
628112	2001	0.003462029
628166	26017	0.012783193
628198	26047	0.067734101
628199	26047	0.077207288
628204	26046	0.00606035
628204	26004	0.012523087
628205	26046	0.080801253
628206	26046	0.01575215
628225	26036	0.036262684
628234	26035	0.038531295
628237	26035	0.00287516
628237	26035	0.009892344
628251	26019	0.00235607
628251	26006	0.252682434
628261	26011	0.141867645
628275	26027	0.062666278
628305	8035	0.016057222
628313	8035	0.016048008
628320	8035	0.0119011
628321	8035	0.007659864
628374	8001	0.06122076
628374	8001	0.015786285
629131	2001	0.003937314
629170	2001	0.003355193
629171	2001	0.000477092
629225	26017	0.012233035
629248	26017	0.001539772
629253	26047	0.072515889
629254	26047	0.138033569
629255	26047	0.005258423
629255	26047	0.12279036
629256	26047	0.026365191
629256	26047	0.104247317
629257	26047	0.03629921
629257	26047	0.07985547
629257	26047	0.061236696
629258	26047	0.104142654
629258	26004	0.00310258
629259	26004	0.032125791
629260	26004	0.032164756
629261	26004	0.032202485
629262	26004	0.007635451
629262	26004	0.032119609
629262	26004	0.004829055
629263	26004	0.021619242
629283	26036	0.014714581
629284	26036	0.019735568
629291	26035	0.005426838
629292	26035	0.019652702
629293	26035	0.03617632
629293	26035	0.003355226
629293	26035	0.006757188
629293	26035	0.008897379
629294	26035	0.025261525
629295	26035	0.020098599
629296	26035	0.018574601
629310	26019	0.012401386
629319	26011	0.066480813
629320	26011	0.108031562
629334	26027	0.019996977
629334	26027	0.025643894
629334	26027	0.017006151
629334	26027	8.94507E-05
629345	26002	0.016533283
629364	8035	0.016055185
629372	8035	0.008171648
629373	8035	0.000939381
629377	8035	0.004534601
629378	8035	0.01348915
629378	8035	0.00326741
629378	8035	0.003165343
629379	8035	0.003940666
629379	8035	0.000241716
629379	8035	0.010811117
629379	8035	0.000931504
629433	8001	0.032925083
629433	8001	0.036892133
629433	8001	0.005652394
629434	8001	0.00707576
630190	2001	0.002650201
630190	2001	0.001172542
630229	2001	0.003782714
630284	26017	0.009168598
630285	26017	0.007466886
630304	26017	0.000432546
630305	26017	0.007124558
630305	26017	0.003328346
630305	26017	0.006080476
630306	26017	0.013236928
630307	26017	0.011374233
630308	26017	0.01229587
630309	26017	0.012282829
630310	26017	0.00211388
630310	26017	0.001816397
630310	26017	0.00279715
630310	26017	0.010783766
630311	26017	0.013631786
630312	26017	0.003815496
630312	26047	0.019967665
630321	26004	0.031691055
630321	26004	0.006738797
630322	26004	0.0044684
630322	26046	0.00560827
630322	26004	0.025378262
630322	26004	0.016587406
630323	26046	0.068474397
630324	26046	0.069144855
630342	26036	0.040924706
630351	26035	0.00309806
630352	26035	0.007646829
630352	26035	0.007185437
630352	26035	0.004568226
630352	26035	0.004359999
630352	26035	0.013541846
630352	26035	0.02638541
630353	26035	0.013399453
630369	26019	0.016177567
630370	26019	0.00257923
630378	26011	0.204671278
630393	26027	0.063312675
630404	26002	0.02045079
630422	8035	0.001376478
630423	8035	0.026558032
630432	8035	0.007780465
630433	8035	0.015578961
630435	8035	0.014696547
630436	8035	0.013913587
630438	8035	0.019438798
630492	8001	0.069819875
631249	2001	0.003454139
631288	2001	0.003547449
631289	2001	0.000301223
631344	26017	0.007748774
631345	26017	0.01377778
631346	26017	0.003412197
631361	26017	0.004930988
631362	26017	0.013237255
631363	26017	0.012785146
631364	26017	0.01151154
631369	26017	0.01538562
631369	26017	0.000865831
631381	26004	0.032316251
631383	26046	0.006143173
631384	26046	0.079945297
631399	26036	0.001248491
631400	26036	0.04350677
631401	26036	0.003411824
631411	26035	0.023436469
631412	26035	0.01740498
631412	26035	0.018700442
631413	26035	0.013087235
631429	26019	0.013483891
631436	26019	0.017051398
631437	26019	0.004149748
631437	26011	0.022428101
631449	26027	0.025238461
631450	26027	0.030858911
631451	26027	0.031546518
631452	26027	0.037639226
631452	26027	0.001134632
631452	26027	0.006008764
631452	26027	0.008084937
631453	26027	0.01821856
631453	26027	0.006313786
631463	26002	0.020573552
631480	8035	0.006894662
631481	8035	0.015221723
631492	8035	0.002135335
631492	8035	0.006017442
631493	8035	0.015221057
631493	8035	0.00467142
631493	8035	0.007725388
631494	8035	0.005107817
631497	8035	0.013112519
631498	8035	0.004136235
631551	8001	0.070178585
631580	8028	0.014824048
632307	2001	0.001012149
632308	2001	0.002443798
632347	2001	0.003861897
632402	26017	0.002413823
632405	26017	0.01024946
632406	26017	0.0137215
632407	26017	0.00241051
632418	26017	0.009689165
632419	26017	0.013183861
632420	26017	0.008235569
632427	26017	0.012150226
632428	26017	0.003276477
632440	26046	0.011174919
632440	26004	0.027035259
632443	26046	0.030767741
632444	26046	0.08084577
632445	26046	0.003939809
632457	26065	0.033037987
632458	26036	0.0191687
632458	26065	0.025264996
632471	26035	0.03762541
632472	26035	0.008932038
632473	26035	0.020751965
632474	26035	0.007776573
632488	26019	0.012929992
632494	26019	0.009264719
632495	26019	0.022529528
632511	26027	0.022975885
632512	26027	0.013318965
632512	26027	0.049940886
632512	26027	0.008157156
632521	26002	0.011218478
632522	26002	0.008950341
632551	8035	0.020517819
632557	8035	0.018748132
632557	8035	0.000198092
632557	8035	0.007771146
632558	8035	0.007924921
632610	8001	0.070103084
632639	8028	0.041975591
633366	2001	0.003554313
633406	2001	0.003473149
633461	26017	0.001097914
633466	26017	0.011321829
633467	26017	0.013635926
633468	26017	0.001556191
633475	26017	0.007904032
633475	26017	0.002709123
633476	26017	0.013215784
633477	26017	0.003535514
633485	26017	0.008129497
633486	26017	0.007165544
633499	26046	0.038119803
633499	26004	0.014790969
633504	26046	0.045379025
633504	26007	0.109678267
633505	26007	0.153916526
633513	26065	0.042041913
633514	26065	0.046295262
633515	26065	0.048727686
633516	26065	0.022032975
633530	26035	0.039328977
633533	26035	0.028832277
633534	26035	0.017922741
